Question,Answer
không bao giờ đỗ xe dưới gốc cây.,Ồ! điều đó thật khủng khiếp.
chúng ta sẽ dừng lại ở cửa hàng McDonald's tiếp theo.,khi nào chúng ta sẽ dừng lại?
nó cách đây bao xa?,chúng ta sẽ dừng lại ở cửa hàng McDonald's tiếp theo.
tôi nghĩ chúng ta sẽ đến đó trong nửa giờ nữa,nó cách đây bao xa?
tôi hy vọng như vậy tôi phải đi vệ sinh.,tôi nghĩ chúng ta sẽ đến đó trong nửa giờ nữa
Ý anh là gì?,chúng ta có thể giết hai con chim bằng một hòn đá.
nhìn xem có bao nhiêu xe đang xếp hàng chờ.,đây là một ánh sáng dài.
họ cần một mũi tên rẽ trái.,nhìn xem có bao nhiêu xe đang xếp hàng chờ.
cứ ba hoặc bốn phút chỉ có hai ô tô có thể rẽ trái.,họ cần một mũi tên rẽ trái.
chúng ta sẽ ở đây mãi mãi.,cứ ba hoặc bốn phút chỉ có hai ô tô có thể rẽ trái.
ra khỏi làn đường này.,chúng ta sẽ ở đây mãi mãi.
nhưng chúng ta cần rẽ trái.,ra khỏi làn đường này.
quên nó đi. đi thẳng.,nhưng chúng ta cần rẽ trái.
sau đó thì sao?,quên nó đi. đi thẳng.
sau đó chúng ta sẽ quay đầu lại.,sau đó thì sao?
và sau đó chúng ta có thể rẽ phải ở chỗ đèn giao thông.,sau đó chúng ta sẽ quay đầu lại.
ý tưởng tốt. nó sẽ nhanh hơn rất nhiều.,và sau đó chúng ta có thể rẽ phải ở chỗ đèn giao thông.
bạn có bao nhiêu tiền?,tôi cần một chiếc xe giá rẻ
bạn cần một chiếc xe với quãng đường đi được ít.,nhưng tôi cần thứ gì đó đáng tin cậy.
một chiếc ô tô thuộc sở hữu của một bà già nhỏ.,bạn cần một chiếc xe với quãng đường đi được ít.
bạn đã nhìn ở đâu rồi?,một chiếc ô tô thuộc sở hữu của một bà già nhỏ.
tôi vẫn chưa nhìn đi đâu cả,bạn đã nhìn ở đâu rồi?
tại sao không?,tôi vẫn chưa nhìn đi đâu cả
vì tôi sẽ không bao giờ tìm được nơi nào có giá thấp như vậy.,tại sao không?
bạn nói đúng về điều đó. hãy tiếp tục tiết kiệm tiền của bạn,vì tôi sẽ không bao giờ tìm được nơi nào có giá thấp như vậy.
bạn có biết tại sao tôi kéo bạn qua không?,đây rồi.
tôi không biết. đột nhiên tôi nghe thấy tiếng còi báo động của bạn.,bạn có biết tại sao tôi kéo bạn qua không?
bạn đã vượt qua biển báo dừng ở đó.,tôi không biết. đột nhiên tôi nghe thấy tiếng còi báo động của bạn.
nhưng tôi đã dừng lại!,bạn đã vượt qua biển báo dừng ở đó.
nhưng tôi là một người lái xe giỏi. tôi chưa bao giờ có một tấm vé trong đời.,đó không phải là thái độ của một người lái xe giỏi.
bạn đang nói về cái gì vậy?,$140. tôi không thể tin được.
tôi có một vé vào trung tâm thành phố với giá 140 đô la.,bạn đang nói về cái gì vậy?
bạn có đang tăng tốc không?,tôi có một vé vào trung tâm thành phố với giá 140 đô la.
Cán bộ cho biết bàn tay đỏ đang nhấp nháy.,vậy tại sao bạn lại nhận được một vé?
nó có nhấp nháy khi bạn đi vào lối qua đường dành cho người đi bộ không?,Cán bộ cho biết bàn tay đỏ đang nhấp nháy.
Ai?,họ đang ở lối qua đường gần trường lúc 3 giờ sáng.
hai sinh viên từ usc.,Ai?
chuyện gì đã xảy ra thế?,hai sinh viên từ usc.
anh ta đáp xuống mui xe.,chuyện gì đã xảy ra với học sinh kia?
anh ấy đã ra khỏi mui xe phải không?,anh ta đáp xuống mui xe.
tất nhiên là có. Tại sao lại dừng lại sau khi bạn đã tông phải hai người?,tôi cá là chiếc xe vẫn tiếp tục đi.
tôi hy vọng họ sẽ tìm thấy họ và tống họ vào tù suốt đời.,tất nhiên là có. Tại sao lại dừng lại sau khi bạn đã tông phải hai người?
tôi có một vết lõm ở bãi đậu xe.,chuyện gì đã xảy ra với xe của bạn vậy?
làm thế nào bạn có được nó?,tôi có một vết lõm ở bãi đậu xe.
Tôi không biết. có lẽ nó đến từ một chiếc xe đẩy hàng.,làm thế nào bạn có được nó?
những chiếc xe đẩy hàng đó thật nguy hiểm.,Tôi không biết. có lẽ nó đến từ một chiếc xe đẩy hàng.
đặc biệt là những kim loại.,những chiếc xe đẩy hàng đó thật nguy hiểm.
tôi không đỗ xe ở cửa hàng sử dụng xe đẩy hàng bằng kim loại.,đặc biệt là những kim loại.
Đúng. nó là một bộ phim tuyệt vời,"""bạn có thấy """"titanic"""" không?"""
tôi đã nhìn thấy nó mười hai lần.,Đúng. nó là một bộ phim tuyệt vời
tôi đã nhìn thấy nó tám lần.,tôi đã nhìn thấy nó mười hai lần.
tôi có đĩa DVD.,tôi đã nhìn thấy nó tám lần.
tôi cũng vậy.,tôi có đĩa DVD.
chúng ta hãy đi đến nhà của bạn.,tôi cũng vậy.
chúng ta có thể xem DVD của tôi.,chúng ta hãy đi đến nhà của bạn.
và sau đó chúng ta có thể về nhà tôi.,chúng ta có thể xem DVD của tôi.
và xem DVD của bạn.,và sau đó chúng ta có thể về nhà tôi.
tôi luôn khóc ở phần cuối.,và xem DVD của bạn.
Tôi cũng vậy. thật là buồn.,tôi luôn khóc ở phần cuối.
tôi không biết bất kỳ trò chơi bài nào,hãy chơi bài.
tôi sẽ dạy cho bạn một cái.,tôi không biết bất kỳ trò chơi bài nào
được rồi. bạn sẽ dạy tôi điều gì?,tôi sẽ dạy cho bạn một cái.
nó được gọi là bài poker.,được rồi. bạn sẽ dạy tôi điều gì?
nó có dễ học không?,nó được gọi là bài poker.
mỗi chúng tôi nhận được năm thẻ.,được rồi. dạy tôi cách chơi.
tại sao vậy?,tôi là một người chơi bài giỏi
bởi vì tôi xem những người chơi khác.,tại sao vậy?
Ý anh là gì?,bởi vì tôi xem những người chơi khác.
mọi người sẽ cho bạn biết nếu họ có một bàn tay tốt.,Ý anh là gì?
họ làm điều đó bằng cách nào?,mọi người sẽ cho bạn biết nếu họ có một bàn tay tốt.
bạn sẽ làm gì?,tôi không thể đợi cho đến khi tôi lớn lên
tôi sẽ mở radio to như tôi muốn.,bạn sẽ làm gì?
điều đó ổn với tôi.,tôi sẽ mở radio to như tôi muốn.
tôi sẽ có một chiếc radio trong mỗi phòng trong nhà tôi.,điều đó ổn với tôi.
nhắc nhở tôi đừng bao giờ đến thăm bạn.,tôi sẽ có một chiếc radio trong mỗi phòng trong nhà tôi.
tất cả các đài sẽ được bật to hơn.,nhắc nhở tôi đừng bao giờ đến thăm bạn.
hàng xóm của bạn sẽ ghét bạn.,tất cả các đài sẽ được bật to hơn.
cơ hội của bạn là rất nhỏ.,tôi hy vọng tôi thắng xổ số
nhưng bạn không thể thắng nếu bạn không chơi.,cơ hội của bạn là rất nhỏ.
ha! bạn không thể thắng nếu bạn chơi.,nhưng bạn không thể thắng nếu bạn không chơi.
ai đó phải thắng.,ha! bạn không thể thắng nếu bạn chơi.
đó là những gì mọi người nói.,ai đó phải thắng.
đó cũng có thể là tôi.,đó là những gì mọi người nói.
đó là những gì mọi người nói.,đó cũng có thể là tôi.
bạn đang cố nói với tôi điều gì đó,đó là những gì mọi người nói.
việc đó không mất nhiều thời gian.,bạn đang cố nói với tôi điều gì đó
bạn nghĩ tôi nên nghỉ chơi,việc đó không mất nhiều thời gian.
tiết kiệm tiền đi học.,bạn nghĩ tôi nên nghỉ chơi
không có gì nhiều.,có gì trên tivi thế?
còn trận bóng chày thì sao?,không có gì nhiều.
trời đã mưa.,còn trận bóng chày thì sao?
trời đã mưa?,trời đã mưa.
mái vòm không đóng lại.,tôi tưởng họ đang chơi dưới mái vòm.
tại sao nó không đóng?,mái vòm không đóng lại.
ai biết? họ nói họ sẽ sửa nó trước mùa giải tới.,tại sao nó không đóng?
Chắc chắn. đây rồi.,tôi có thể thử cà phê của bạn được không?
Ý anh là gì?,chẳng có gì trong đó cả.
nó không quá đắng với bạn phải không?,tôi đã nghĩ ra điều đó
thời tiết như thế nào?,chúng ta hãy đi dạo.
để tôi bước ra ngoài xem.,thời tiết như thế nào?
chúng ta sẽ ấm hơn khi đi bộ.,tôi sẽ bỏ một chiếc găng tay vào mỗi túi.
tài xế đó điên rồi.,hãy xem cuộc rượt đuổi ô tô trên tivi!
tôi không thể tin rằng anh ấy đã không bị rơi.,tài xế đó điên rồi.
anh ấy đi nhanh thế nào?,tôi không thể tin rằng anh ấy đã không bị rơi.
họ nói anh ấy đang đi với tốc độ 80 dặm một giờ.,anh ấy đi nhanh thế nào?
anh ta sắp giết ai đó.,họ nói anh ấy đang đi với tốc độ 80 dặm một giờ.
Nhìn! anh ta vừa tông vào chiếc xe đó.,anh ta sắp giết ai đó.
có lẽ anh ấy hết xăng rồi.,bây giờ anh ấy đang chậm lại.
Nhìn! anh ta vừa ra khỏi xe và bắt đầu chạy.,có lẽ anh ấy hết xăng rồi.
tôi hy vọng cảnh sát bắt được anh ta,Nhìn! anh ta vừa ra khỏi xe và bắt đầu chạy.
họ thậm chí không nên gọi nó là tin tức.,tin tức truyền hình thật ngu ngốc.
tối qua họ kể cho chúng tôi nghe về một con mèo trên ghế sofa.,họ thậm chí không nên gọi nó là tin tức.
hôm qua họ kể cho chúng tôi nghe về con chó trong ống tẩu.,tối qua họ kể cho chúng tôi nghe về một con mèo trên ghế sofa.
tuần trước họ kể cho chúng tôi nghe về một con gấu ở sân sau.,hôm qua họ kể cho chúng tôi nghe về con chó trong ống tẩu.
tháng trước họ kể với chúng tôi về một con chuột trong nhà hàng.,tuần trước họ kể cho chúng tôi nghe về một con gấu ở sân sau.
người dự báo thời tiết cho chúng ta biết nhiệt độ ở mọi thị trấn.,tháng trước họ kể với chúng tôi về một con chuột trong nhà hàng.
anh chàng thể thao cho chúng tôi thấy các cầu thủ đang chiến đấu.,người dự báo thời tiết cho chúng ta biết nhiệt độ ở mọi thị trấn.
"""họ luôn cho chúng tôi biết """"điều gì tiếp theo.""""""",anh chàng thể thao cho chúng tôi thấy các cầu thủ đang chiến đấu.
họ nên có những phóng viên nhí.,nó giống tin tức dành cho trẻ em hơn.
máy tính thật tuyệt vời.,tôi yêu máy tính của tôi
tôi thích lên mạng,máy tính thật tuyệt vời.
Internet thật tuyệt vời.,tôi thích lên mạng
bạn có thể đi du lịch khắp nơi trên thế giới.,Internet thật tuyệt vời.
Tôi biết. tôi đã đến Trung Quốc ngày hôm qua,bạn có thể đi du lịch khắp nơi trên thế giới.
bạn đã làm gì thế?,Tôi biết. tôi đã đến Trung Quốc ngày hôm qua
tôi đứng trên bức tường lớn và nhìn xung quanh.,bạn đã làm gì thế?
nó như thế nào?,tôi đứng trên bức tường lớn và nhìn xung quanh.
nó giống như thật vậy.,nó như thế nào?
nó giống như ở đó?,nó giống như thật vậy.
họ là nhóm nhạc hay nhất từ ​​trước đến nay.,beatles là hay nhất.
tôi yêu tất cả các bài hát của họ,họ là nhóm nhạc hay nhất từ ​​trước đến nay.
tôi không biết cái nào tôi thích nhất,tôi yêu tất cả các bài hát của họ
tôi thích những người tôi có thể hát cùng.,tôi không biết cái nào tôi thích nhất
thật là một bài hát tuyệt vời,"""""""Â…và bạn biết bạn nên vui mừng!"""""""
"""thế còn """"cứ để vậy đi?""""""",thật là một bài hát tuyệt vời
tôi thà không.,chúng ta hãy đi xem phim.
tại sao không?,tôi thà không.
bạn biết tôi không thích đám đông.,tại sao không?
hãy đi xem phim sớm nhé.,bạn biết tôi không thích đám đông.
nó dựa trên một câu chuyện có thật về một người đàn ông đã ly hôn và đứa con trai nhỏ của anh ta.,bạn đã nghe gì về nó?
tôi thích quan sát mọi người,điều bạn thích làm nhất là gì?
đó là điều bạn thích làm nhất?,tôi thích quan sát mọi người
bạn gái tôi và tôi ngồi bên ngoài starbucks.,bạn đi đâu để xem mọi người?
Nghe có vẻ là một nơi tốt.,bạn gái tôi và tôi ngồi bên ngoài starbucks.
chúng tôi quan sát mọi người đi ngang qua với con chó của họ.,Nghe có vẻ là một nơi tốt.
tôi đoán bạn thấy rất nhiều con chó khác nhau.,chúng tôi quan sát mọi người đi ngang qua với con chó của họ.
chúng tôi thậm chí không biết hầu hết chúng là loại gì.,tôi đoán bạn thấy rất nhiều con chó khác nhau.
đó có phải là tiền của anh ấy không?,mỗi chủ nhật Phục sinh anh ấy đều cho tiền.
KHÔNG. các ngôi sao điện ảnh đưa tiền cho anh ấy để giúp đỡ những người vô gia cư.,đó có phải là tiền của anh ấy không?
anh ấy cho đi bao nhiêu tiền?,KHÔNG. các ngôi sao điện ảnh đưa tiền cho anh ấy để giúp đỡ những người vô gia cư.
anh ấy đã tặng 100 đô la cho những người ngồi xe lăn.,đó là rất nhiều tiền
còn những người vô gia cư khác thì sao?,anh ấy đã tặng 100 đô la cho những người ngồi xe lăn.
họ nhận được 1 đô la mỗi người.,còn những người vô gia cư khác thì sao?
mọi người đứng xếp hàng chỉ để nhận được một đô la?!,họ nhận được 1 đô la mỗi người.
mặc dù chúng có màu đen và trắng.,phim xưa là hay nhất
một câu chuyện hay quan trọng hơn màu sắc.,mặc dù chúng có màu đen và trắng.
hồi đó diễn viên đâu có chửi đâu.,một câu chuyện hay quan trọng hơn màu sắc.
và không có bạo lực.,hồi đó diễn viên đâu có chửi đâu.
mọi người ngày nay không thích điều đó.,và không có bạo lực.
tôi thích xem những diễn viên giống người thật.,tôi thích một câu chuyện hay
như những con người thực sự với những vấn đề thực sự.,tôi thích xem những diễn viên giống người thật.
họ vẫn làm những bộ phim như thế.,như những con người thực sự với những vấn đề thực sự.
kể cho tôi nghe về nó.,nó làm tôi buồn ngủ.
một buổi biểu diễn làm vườn nối tiếp một buổi biểu diễn đan lát.,kể cho tôi nghe về nó.
một buổi biểu diễn nấu ăn nối tiếp một buổi biểu diễn may vá.,một buổi biểu diễn làm vườn nối tiếp một buổi biểu diễn đan lát.
một chương trình du lịch nối tiếp một chương trình du lịch khác.,một buổi biểu diễn nấu ăn nối tiếp một buổi biểu diễn may vá.
tôi sẽ nói! tôi đã đi vòng quanh thế giới hàng chục lần rồi!,một chương trình du lịch nối tiếp một chương trình du lịch khác.
bây giờ họ đang thêm các chương trình truyền hình cũ vào các bộ phim cũ.,tôi sẽ nói! tôi đã đi vòng quanh thế giới hàng chục lần rồi!
tôi chắc chắn muốn thấy điều gì đó thú vị để thay đổi.,bây giờ họ đang thêm các chương trình truyền hình cũ vào các bộ phim cũ.
đó có phải là một chương trình truyền hình không?,"""tôi thích xem """"thẩm phán Judy."""""""
Đúng. nó diễn ra vào mỗi buổi chiều.,đó có phải là một chương trình truyền hình không?
nó có gì hay thế?,Đúng. nó diễn ra vào mỗi buổi chiều.
họ có những vụ kiện thú vị.,nó có gì hay thế?
chẳng hạn như?,họ có những vụ kiện thú vị.
nó chỉ hoạt động ở Canada.,có chuyện gì xảy ra với điện thoại à?
người bán có biết điều đó không?,nó chỉ hoạt động ở Canada.
nữ ca sĩ được cho là xinh đẹp.,nó có gì khác biệt?
ca sĩ phải hát hay.,nữ ca sĩ được cho là xinh đẹp.
ca sĩ nam không cần phải đẹp.,có rất nhiều ca sĩ nam xấu xí.
thì ca sĩ nữ cũng vậy.,ca sĩ nam không cần phải đẹp.
Đúng. tôi sẽ mua tất cả đĩa CD của cô ấy.,nhưng bạn sẽ mua đĩa CD của cô ấy nếu cô ấy xinh đẹp?
tín hiệu số rất rõ ràng.,hầu hết trong số họ đã được phát sóng dưới dạng kỹ thuật số.
tôi không thể có được một kênh duy nhất.,Ý anh là gì?
bạn có TV kỹ thuật số không?,tôi không thể có được một kênh duy nhất.
tất nhiên rồi. nhưng tôi không có cáp.,bạn có TV kỹ thuật số không?
tai thỏ không đủ khỏe. mua một ăng-ten kỹ thuật số.,nhưng tôi có tai thỏ.
Có lẽ. cô ấy như thế nào?,bạn có quan tâm không?
cô ấy có một nhân cách tuyệt vời,Có lẽ. cô ấy như thế nào?
ồ-ồ. điều đó có nghĩa là cô ấy béo và xấu.,cô ấy có một nhân cách tuyệt vời
cô ấy thật dễ thương.,ồ-ồ. điều đó có nghĩa là cô ấy béo và xấu.
vấn đề là cô ấy không có vấn đề gì cả - cô ấy quá tốt đối với tôi!,ai bảo cô ấy có vấn đề?
Cảm ơn.,tôi nghĩ bạn rất xinh đẹp
bạn sẽ ăn tối với tôi chứ?,Cảm ơn.
tôi muốn.,bạn sẽ ăn tối với tôi chứ?
tôi có thể đón bạn vào tối thứ sáu được không?,tôi muốn.
mấy giờ?,tôi có thể đón bạn vào tối thứ sáu được không?
tám giờ.,mấy giờ?
điều đó nghe có vẻ tuyệt vời.,tám giờ.
chúng ta sẽ đi đến một nhà hàng Pháp.,điều đó nghe có vẻ tuyệt vời.
tôi chưa bao giờ đến nhà hàng Pháp,chúng ta sẽ đi đến một nhà hàng Pháp.
tôi nghĩ bạn sẽ thích đồ ăn.,tôi chưa bao giờ đến nhà hàng Pháp
tôi sẽ không ăn con ốc nào cả!,tôi nghĩ bạn sẽ thích đồ ăn.
Cảm ơn. bạn cũng vậy.,bạn có đôi mắt đẹp.
tôi ước gì mắt tôi có màu xanh,Cảm ơn. bạn cũng vậy.
có chuyện gì với mắt xanh vậy?,tôi ước gì mắt tôi có màu xanh
nhưng nếu kiếp sau tôi là một con cá thì sao?,có thể kiếp sau bạn sẽ có đôi mắt xanh.
tôi nghĩ một số loài cá có mắt xanh.,nhưng nếu kiếp sau tôi là một con cá thì sao?
tôi hy vọng tôi không trở lại làm một con cá.,tôi nghĩ một số loài cá có mắt xanh.
tôi hy vọng tôi sẽ trở lại như một con mèo.,tôi hy vọng tôi không trở lại làm một con cá.
mèo có đôi mắt đẹp.,tôi hy vọng tôi sẽ trở lại như một con mèo.
tôi rất thích có đôi mắt mèo màu xanh.,mèo có đôi mắt đẹp.
đó là tình yêu từ cái nhìn đầu tiên?,tôi yêu bạn vào ngày đầu tiên tôi nhìn thấy bạn.
Tôi biết. tôi phải đuổi theo bạn một lúc.,ban đầu anh không yêu em
và em là của anh mãi mãi.,bây giờ bạn là của tôi mãi mãi.
chúng ta sẽ cùng nhau già đi.,và em là của anh mãi mãi.
và cùng nhau hạnh phúc.,chúng ta sẽ cùng nhau già đi.
bạn đã nói với cô ấy chưa?,tôi đang yêu cô gái đó
tất nhiên là không.,bạn đã nói với cô ấy chưa?
tại sao không?,tất nhiên là không.
cô ấy sẽ cười nhạo tôi.,tại sao không?
làm sao bạn biết?,cô ấy sẽ cười nhạo tôi.
bởi vì họ luôn làm vậy.,làm sao bạn biết?
có lẽ cô ấy khác.,bởi vì họ luôn làm vậy.
tất cả đều giống nhau.,có lẽ cô ấy khác.
chỉ cần mời cô ấy đi ăn tối.,tất cả đều giống nhau.
và sau đó thì sao?,chỉ cần mời cô ấy đi ăn tối.
và khi đó cô ấy sẽ biết rằng bạn thích cô ấy.,và sau đó thì sao?
tôi không có tâm trạng.,ôm tôi một cái đi.
có chuyện gì thế?,tôi không có tâm trạng.
tôi thấy bạn đang nhìn người phụ nữ đó.,có chuyện gì thế?
người phụ nữ nào?,tôi thấy bạn đang nhìn người phụ nữ đó.
vậy tại sao cậu lại nhìn cô ấy?,tôi không quan tâm đến cô ấy
tôi đang nhìn cái gì khác,vậy tại sao cậu lại nhìn cô ấy?
chắc bạn đang nói đùa.,bạn có muốn đi hẹn hò mù quáng không?
hẹn hò mù quáng không có nghĩa là cô ấy bị mù!,tôi không muốn hẹn hò với một người phụ nữ mù.
nó có nghĩa là gì?,hẹn hò mù quáng không có nghĩa là cô ấy bị mù!
hẹn hò mù quáng là hẹn hò với người mà bạn không quen biết.,nó có nghĩa là gì?
tại sao tôi lại hẹn hò với một người mà tôi thậm chí còn không biết?,hẹn hò mù quáng là hẹn hò với người mà bạn không quen biết.
để thử một cái gì đó mới và thú vị.,tại sao tôi lại hẹn hò với một người mà tôi thậm chí còn không biết?
nếu tôi không thích cô ấy thì sao?,để thử một cái gì đó mới và thú vị.
thì bạn đừng hẹn hò với cô ấy nữa.,nếu tôi không thích cô ấy thì sao?
Thực ra? với ai?,tôi có một cuộc hẹn vào tối mai.
một cô gái tôi gặp ở chợ.,Thực ra? với ai?
bạn gặp một cô gái ở siêu thị?,một cô gái tôi gặp ở chợ.
cô ấy đang đứng sau tôi trong một hàng rất chậm ở quầy tính tiền.,bạn gặp một cô gái ở siêu thị?
bạn đã nói gì với cô ấy?,cô ấy đang đứng sau tôi trong một hàng rất chậm ở quầy tính tiền.
một người đàn ông tôi gặp ở quán cà phê.,bạn đã đi chơi với ai?
bạn đã đi đâu?,một người đàn ông tôi gặp ở quán cà phê.
chúng tôi đã đến một nhà hàng đẹp,bạn đã đi đâu?
bất cứ nơi nào khác?,chúng tôi đã đến một nhà hàng đẹp
sau đó chúng tôi đến một câu lạc bộ nhạc jazz.,bất cứ nơi nào khác?
nghe có vẻ là một cuộc hẹn hò tốt đẹp.,sau đó chúng tôi đến một câu lạc bộ nhạc jazz.
chuyện gì đã xảy ra thế?,đêm nọ tôi đã có cuộc hẹn tồi tệ nhất.
sau đó anh ta không buồn xin lỗi.,đó không phải là một khởi đầu tốt
điều đó thật thô lỗ.,sau đó anh ta không buồn xin lỗi.
sau đó anh ta lái xe quá nhanh đến nhà hàng.,điều đó thật thô lỗ.
Điều đó thật nguy hiểm.,sau đó anh ta lái xe quá nhanh đến nhà hàng.
tôi nghĩ đến việc ra ngoài và bắt taxi về nhà.,Điều đó thật nguy hiểm.
chuyện gì đã xảy ra ở nhà hàng vậy?,tôi nghĩ đến việc ra ngoài và bắt taxi về nhà.
tại sao không?,tôi không thích người đàn ông đó
ông ấy là một ông già bẩn thỉu.,tại sao không?
Ý anh là gì?,ông ấy là một ông già bẩn thỉu.
nhưng rất nhiều người già vẫn thích hẹn hò.,anh ấy nên hành động đúng tuổi của mình.
họ nên tìm một sở thích thú vị.,nhưng rất nhiều người già vẫn thích hẹn hò.
chỉ cần đợi cho đến khi bạn 50 tuổi.,họ nên tìm một sở thích thú vị.
hẹn hò sẽ là điều xa vời nhất trong tâm trí tôi.,chỉ cần đợi cho đến khi bạn 50 tuổi.
đó là những gì bạn nói bây giờ đợi đến khi bạn 50 tuổi.,hẹn hò sẽ là điều xa vời nhất trong tâm trí tôi.
Thỉnh thoảng.,bạn gái của bạn có bao giờ làm bạn tức giận không?
cô ấy làm gì?,Thỉnh thoảng.
đó là những gì tôi nghĩ,đó là một điều tốt đẹp để nói.
cô ấy đã nói gì thế?,đó là những gì tôi nghĩ
cô ấy đã cười! cô ấy không tin tôi.,cô ấy đã nói gì thế?
điều đó không tốt chút nào với cô ấy.,cô ấy đã cười! cô ấy không tin tôi.
cô ấy nói rằng đối với tôi không có gì quan trọng hơn tiền.,điều đó không tốt chút nào với cô ấy.
bạn đã nói gì thế?,cô ấy nói rằng đối với tôi không có gì quan trọng hơn tiền.
tôi đã nói với cô ấy rằng tôi sẽ không đánh đổi cô ấy để lấy bất kỳ người phụ nữ nào khác trên thế giới.,bạn đã nói gì thế?
tôi ước gì tôi có một cái mũi tốt của tôi quá lớn.,một số người có mũi tốt.
ý tôi không phải là đẹp trai. ý tôi là có mùi thơm.,tôi ước gì tôi có một cái mũi tốt của tôi quá lớn.
Ồ. nhưng đó có thể là một lời nguyền.,ý tôi không phải là đẹp trai. ý tôi là có mùi thơm.
cô ấy có bắt gặp bạn sử dụng ma túy không?,tôi sẽ nói. bạn gái tôi có cái mũi giống con chó nghiện ma túy.
đại loại thế. cô ấy biết bất cứ khi nào tôi lén hút thuốc.,cô ấy có bắt gặp bạn sử dụng ma túy không?
bạn không cần phải có cái mũi thính lắm - thuốc lá có mùi hôi.,đại loại thế. cô ấy biết bất cứ khi nào tôi lén hút thuốc.
điều đó nghe có vẻ vui.,chúng ta hãy ra ngoài ăn nhé.
bạn muốn đi đâu?,điều đó nghe có vẻ vui.
hãy để tôi suy nghĩ một phút.,bạn muốn đi đâu?
tôi cảm thấy như người Trung Quốc,hãy để tôi suy nghĩ một phút.
nghe có vẻ ngon đấy.,tôi cảm thấy như người Trung Quốc
tôi biết một nhà hàng Trung Quốc ngon.,nghe có vẻ ngon đấy.
nó cách đây bao xa?,tôi biết một nhà hàng Trung Quốc ngon.
nó chỉ cách đây 10 phút.,nó cách đây bao xa?
chúng tôi có cần đặt chỗ trước không?,nó chỉ cách đây 10 phút.
đó là bởi vì họ nấu nó trong khi bạn chờ đợi.,đó là chiếc bánh hamburger chậm nhất trong thị trấn.
Đúng. đó là lý do tại sao nó cũng là chiếc bánh hamburger ngon nhất trong thị trấn.,đó là bởi vì họ nấu nó trong khi bạn chờ đợi.
một chiếc burger tuyệt vời và dịch vụ tuyệt vời.,Đúng. đó là lý do tại sao nó cũng là chiếc bánh hamburger ngon nhất trong thị trấn.
tôi đã đến đây nhiều năm rồi.,và chúng sạch sẽ.
Tôi cũng vậy.,tôi đã đến đây nhiều năm rồi.
xin lỗi. họ vừa gọi vào số của tôi.,Tôi cũng vậy.
Cảm ơn.,bữa trưa rất ngon.
đó là loại súp gì vậy?,Cảm ơn.
đó là súp cà chua.,đó là loại súp gì vậy?
mùi vị rất ngon.,đó là súp cà chua.
tôi cho chanh và bơ vào đó.,mùi vị rất ngon.
đặc biệt là trên bánh mì nướng.,mọi người đều thích bánh mì kẹp thịt xông khói và cà chua.
tôi không thể đợi được,ngày mai chúng ta sẽ có cơm và cá cho bữa trưa.
có chuyện gì thế?,tôi đang gọi người phục vụ.
món bít tết này có quá nhiều chất béo.,có chuyện gì thế?
bạn muốn người phục vụ làm gì?,món bít tết này có quá nhiều chất béo.
mang cho tôi món bít-tết ngon hơn.,bạn muốn người phục vụ làm gì?
tôi sẽ không làm điều đó,mang cho tôi món bít-tết ngon hơn.
tại sao không?,tôi sẽ không làm điều đó
sau đó người phục vụ sẽ cười thật tươi khi mang cho bạn món bít tết mới.,bạn điên rồi.
bạn lấy những ý tưởng điên rồ này ở đâu?,sau đó người phục vụ sẽ cười thật tươi khi mang cho bạn món bít tết mới.
tôi đã từng nấu ăn ở một nhà hàng!,bạn lấy những ý tưởng điên rồ này ở đâu?
nhưng chúng tôi vừa mới đến đây.,chúng ta hãy rời đi.
bạn có nhìn thấy bàn tay của người phục vụ không?,nhưng chúng tôi vừa mới đến đây.
KHÔNG.,bạn có nhìn thấy bàn tay của người phục vụ không?
anh ấy có móng tay bẩn.,KHÔNG.
Thực ra?,anh ấy có móng tay bẩn.
móng tay của anh ấy màu đen!,Thực ra?
điều đó thật kinh tởm.,móng tay của anh ấy màu đen!
và anh ấy rót nước vào ly của chúng tôi.,điều đó thật kinh tởm.
ôi! không có nước cho tôi.,và anh ấy rót nước vào ly của chúng tôi.
tôi thích nhà hàng này vì họ cho bạn bánh mì miễn phí.,bánh mì nóng này ngon lắm.
có lẽ họ sẽ không thích điều đó.,tôi nghĩ chúng ta nên rời đi sau khi ăn no bánh mì.
Tôi đang ăn nhiều bánh mì đến nỗi tôi thấy no rồi.,có lẽ họ sẽ không thích điều đó.
thì đừng ăn bánh mì nữa!,Tôi đang ăn nhiều bánh mì đến nỗi tôi thấy no rồi.
nó vượt qua sự kiểm tra.,kiểm tra đồ dùng bằng bạc.
người phục vụ tới đây. xem tay và móng tay của anh ấy có sạch không.,nó vượt qua sự kiểm tra.
tôi chỉ hy vọng phòng tắm sạch sẽ.,bạn quên mất phòng tắm rồi.
bạn sẽ không kiểm tra nó trước khi chúng ta gọi bữa tối à?,tôi chỉ hy vọng phòng tắm sạch sẽ.
bây giờ anh ấy đến đây.,bạn có thấy người phục vụ của chúng tôi không?
chúng ta đã ngồi đây được gần 10 phút rồi.,bây giờ anh ấy đến đây.
đó là một ý tưởng tốt,Tôi sẽ lên trước và nói chuyện với người quản lý.
